"Species","Season","Site","Start","End","City","Long","Lat","Crs","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"coyote","JA18","R03-MAP1","2017-12-18","2018-02-14","chil",-87.80378089,41.86786605,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","R04-MMW0","2017-12-18","2018-02-14","chil",-87.83207106,41.85280337,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","R04-MMW3","2017-12-18","2018-02-14","chil",-87.82763197,41.86356253,4326,NA,NA,NA,0,0,1,0,0,NA
"coyote","JA18","R04-SCH1","2017-12-18","2018-02-14","chil",-87.8484205,41.85567851,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","R05-FMG1","2017-12-18","2018-02-14","chil",-87.91280438,41.84824061,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"coyote","JA18","R05-GOC1","2017-12-18","2018-02-14","chil",-87.88292622,41.85757554,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","R05-STP1","2017-12-18","2018-02-14","chil",-87.86937113,41.88326265,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","R06-OTB1","2017-12-18","2018-02-14","chil",-87.97779673,41.85248376,4326,NA,NA,NA,0,1,1,1,0,NA
"coyote","JA18","R06-SLT2","2017-12-18","2018-02-14","chil",-87.95678027,41.87464622,4326,NA,NA,NA,1,1,1,1,0,NA
"coyote","JA18","R06-YOW1","2017-12-18","2018-02-14","chil",-87.93312143,41.85870532,4326,NA,NA,NA,1,1,0,1,1,NA
"coyote","JA18","R07-FSP1","2017-12-18","2018-02-14","chil",-88.02228432,41.85090748,4326,NA,NA,NA,0,1,0,0,0,NA
"coyote","JA18","R07-GOF1","2017-12-18","2018-02-14","chil",-88.04194649,41.8658981,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","R07-MMP1","2017-12-18","2018-02-14","chil",-88.00296221,41.87405852,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","R07-YHR1","2017-12-18","2018-02-14","chil",-87.98972335,41.86578813,4326,NA,NA,NA,1,1,1,0,0,NA
"coyote","JA18","R08-DAP1","2017-12-18","2018-02-14","chil",-88.07916556,41.87515101,4326,NA,NA,NA,0,0,0,0,0,NA
"coyote","JA18","R08-PAP1","2017-12-18","2018-02-14","chil",-88.05904063,41.8561811,4326,NA,NA,NA,0,0,0,0,0,NA
