"Species","Season","Site","Start","End","City","Long","Lat","Crs","Week_1","Week_2","Week_3","Week_4","Week_5","Week_6","Week_7","Week_8","Week_9"
"cottontail_sp","AP18","D04-DNP1",2018-03-18,2018-05-14,"chil",-87.78423327,41.96512952,4326,NA,NA,1,1,1,1,1,NA,NA
"cottontail_sp","AP18","D04-EDW0",2018-03-18,2018-05-14,"chil",-87.7646423,41.99098007,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","D04-FGP1",2018-03-18,2018-05-14,"chil",-87.75452049,41.97728945,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","D04-RDP1",2018-03-18,2018-05-14,"chil",-87.78559613,41.98961368,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","D04-ROS0",2018-03-18,2018-05-14,"chil",-87.68932042,41.98771934,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","D05-ADC2",2018-03-18,2018-05-14,"chil",-87.7944926152454,42.0021481597772,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","D05-BRP1",2018-03-18,2018-05-14,"chil",-87.80710669,42.00945005,4326,NA,NA,1,1,1,1,1,NA,NA
"cottontail_sp","AP18","D05-MIA1",2018-03-18,2018-05-14,"chil",-87.79567324,42.02421505,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","D05-PRC1",2018-03-18,2018-05-14,"chil",-87.8318759,42.02154012,4326,NA,NA,1,1,1,1,1,NA,NA
"cottontail_sp","AP18","D06-KCG1",2018-03-18,2018-05-14,"chil",-87.85328609,42.07983052,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","D07-ASC0",2018-03-18,2018-05-14,"chil",-87.88662949,42.05985363,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","D07-NOC1",2018-03-18,2018-05-14,"chil",-87.87945486,42.09431792,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","D08-CCC1",2018-03-18,2018-05-14,"chil",-87.92248236,42.15870422,4326,NA,NA,0,0,0,0,0,NA,NA
"cottontail_sp","AP18","D08-DAW0",2018-03-18,2018-05-14,"chil",-87.89377889,42.12577912,4326,NA,NA,0,1,0,0,0,NA,NA
"cottontail_sp","AP18","D08-DAW2",2018-03-18,2018-05-14,"chil",-87.90145123,42.13530185,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cottontail_sp","AP18","D09-CLG0",2018-03-18,2018-05-14,"chil",-87.9176414,42.187657685,4326,NA,NA,NA,NA,NA,NA,NA,NA,NA
