Site,Species,Date.Time
Site19,Deer,2021-10-09 12:15:21
Site19,Deer,2021-10-09 12:57:55
Site19,Deer,2021-10-09 10:55:38
Site19,Deer,2021-10-09 11:00:09
Site19,Deer,2021-10-09 12:18:13
Site19,Deer,2021-10-09 12:22:05
Site19,Deer,2021-10-09 12:27:39
Site19,Deer,2021-10-09 12:48:33
Site19,Deer,2021-10-09 12:50:26
Site19,Deer,2021-10-09 12:56:13
Site19,Deer,2021-10-10 07:19:40
Site19,Deer,2021-10-10 11:06:05
Site19,Deer,2021-10-10 16:47:42
Site19,Deer,2021-10-11 07:26:02
Site19,Deer,2021-10-11 08:39:25
Site19,Deer,2021-10-11 15:29:43
Site16,Deer,2021-10-11 18:10:42
Site19,Deer,2021-10-12 03:43:55
Site19,Deer,2021-10-12 03:45:03
Site19,Deer,2021-10-12 08:32:09
Site19,Deer,2021-10-12 08:35:05
Site19,Deer,2021-10-12 12:11:56
Site19,Deer,2021-10-12 12:16:37
Site18,Deer,2021-10-14 06:00:57
Site19,Deer,2021-10-14 06:26:54
Site19,Deer,2021-10-14 11:09:42
Site19,Deer,2021-10-14 18:14:31
Site19,Deer,2021-10-15 16:13:42
Site19,Deer,2021-10-15 16:32:44
Site19,Deer,2021-10-15 16:55:52
Site17,Deer,2021-10-15 17:55:48
Site18,Deer,2021-10-17 11:30:33
Site18,Deer,2021-10-26 19:10:07
Site18,Deer,2021-10-26 19:18:35
Site18,Deer,2021-10-26 19:21:06
Site18,Deer,2021-10-24 19:33:26
Site18,Deer,2021-10-26 01:15:21
Site17,Deer,2021-10-18 17:10:43
Site18,Deer,2021-10-18 18:53:11
Site19,Deer,2021-10-19 14:49:50
Site16,Deer,2021-10-20 00:26:15
Site16,Deer,2021-10-20 21:59:04
Site19,Deer,2021-10-21 07:49:38
Site19,Deer,2021-10-21 14:47:17
Site17,Deer,2021-10-30 23:31:43
Site19,Deer,2021-10-21 18:16:30
Site19,Deer,2021-10-22 11:21:33
Site19,Deer,2021-10-22 11:24:12
Site19,Deer,2021-10-22 11:26:58
Site19,Deer,2021-10-22 11:30:17
Site19,Deer,2021-10-22 11:33:22
Site19,Deer,2021-10-22 11:48:43
Site19,Deer,2021-10-22 11:50:30
Site19,Deer,2021-10-22 11:59:19
Site19,Deer,2021-10-22 12:18:05
Site19,Deer,2021-10-22 13:39:05
Site19,Deer,2021-10-22 14:56:41
Site19,Deer,2021-10-22 15:00:20
Site19,Deer,2021-10-24 14:28:24
Site19,Deer,2021-10-24 16:36:00
Site19,Deer,2021-10-24 17:01:21
Site19,Deer,2021-10-24 17:06:30
Site19,Deer,2021-10-24 17:12:27
Site19,Deer,2021-10-24 17:17:01
Site19,Deer,2021-10-25 00:32:15
Site19,Deer,2021-10-25 14:35:04
Site19,Deer,2021-10-25 15:58:50
Site17,Deer,2021-10-28 21:31:32
Site17,Deer,2021-10-28 21:41:55
Site19,Deer,2021-10-25 16:04:02
Site19,Deer,2021-10-25 16:06:28
Site19,Deer,2021-10-25 16:08:19
Site19,Deer,2021-10-25 16:10:13
Site19,Deer,2021-10-25 16:13:05
Site19,Deer,2021-10-25 16:18:51
Site22,Deer,2021-09-01 11:35:23
Site22,Deer,2021-09-02 06:57:12
Site22,Deer,2021-09-03 18:45:03
Site22,Deer,2021-09-05 10:10:05
Site22,Deer,2021-09-07 19:06:57
Site22,Deer,2021-09-09 20:25:21
Site22,Deer,2021-09-10 03:45:44
Site22,Deer,2021-09-10 09:44:58
Site22,Deer,2021-09-10 21:54:47
Site22,Deer,2021-09-10 12:31:29
Site22,Deer,2021-09-10 22:57:11
Site22,Deer,2021-09-13 18:47:17
Site22,Deer,2021-09-13 16:14:44
Site22,Deer,2021-09-14 09:56:28
Site22,Deer,2021-09-14 20:13:56
Site22,Deer,2021-09-16 03:21:30
Site22,Deer,2021-09-16 19:05:37
Site22,Deer,2021-09-16 19:29:41
Site22,Deer,2021-09-17 21:06:41
Site22,Deer,2021-09-18 01:44:55
Site22,Deer,2021-09-21 21:01:09
