Site,Date,Time,Time_L,Species,GroupSize,HeightM,DistanceM,CompassDegree,UtmX,UtmY,Lat,Long,AccuracyM,ElevationM,TrailMarker,Transect,Habitat,Scientist,ActivityBehavior,Cue,ID,Atsrix
4AJB,11-10-12,19H 29M 0S,19:29,Avahi laniger,2,NA,NA,260,352342,8319083,-15.200049,49.625361,7,538,1250,R,Ridge,SF,Stop,See,198,0
4AJB,13-10-12,19H 31M 0S,19:31,Avahi laniger,1,3,3,100,351176,8320279,-15.189173,49.614579,5,479,650,C,Ridge,SF,Stop,See,199,0
4AJB,29-08-12,9H 37M 0S,09:37,Eulemur albifrons,5,4,4,280,352299,8318892,-15.201773,49.624949,5,568,1050,R,Ridge,SF,Jumping,See,200,0
4AJB,05-10-12,9H 18M 0S,09:18,Eulemur albifrons,8,10,10,140,352280,8318949,-15.201257,49.624776,5,534,1100,R,Ridge,SF,Feeding,See,201,0
4AJB,05-10-12,9H 39M 0S,09:39,Eulemur albifrons,4,11,11,160,352232,8318661,-15.203857,49.624312,5,490,775,R,Ridge,SF,Jumping,See,202,0
4AJB,06-10-12,7H 56M 0S,07:56,Eulemur albifrons,5,4,4,20,351613,8319288,-15.198155,49.618587,5,442,625,A,Ridge,SF,Jumping,See,203,0
4AJB,06-10-12,8H 17M 0S,08:17,Eulemur albifrons,3,6,6,330,351793,8319787,-15.193655,49.620292,6,551,1100,A,Ridge,SF,Feeding,See,204,0
4AJB,09-10-12,9H 17M 0S,09:17,Eulemur albifrons,3,5,5,340,351777,8319404,-15.197116,49.620121,6,552,425,A,Ridge,SF,Feeding,See,205,0
4AJB,23-08-12,19H 5M 0S,19:05,Microcebus rufus,1,8,8,200,352321,8319173,-15.199235,49.625171,6,445,1375,R,Ridge,SF,Stop,See,206,0
4AJB,25-09-12,19H 11M 0S,19:11,Microcebus rufus,1,4,4,60,352326,8319179,-15.199181,49.625217,4,532,1400,R,Ridge,SF,Stop,See,207,0
