Site,Date,Time,Species,group,Height,Distance,Compass,UTM_X,UTM_Y,Lat,Long,Accuracy,Elevation,Trail_Marker,Transect,Habitat,nose,Behavior,Cue
SOA,03-05-11,20:50,Avahi laniger,1,7,7,320,333650,8346045,-14.955241,49.453151,3,1074,2000,D,Ridge,RF,Stop,Seen
SOA,08-05-11,20:10,Avahi laniger,2,3,7,140,334146,8346340,-14.952606,49.457781,4,1145,1175,D,Ridge,RF,Stop,Seen
SOA,18-04-11,09:08,Eulemur albifrons,6,10,12,300,334056,8346221,-14.953675,49.456937,4,1106,1350,D,Ridge,RF,Stop,Seen
SOA,26-04-11,08:50,Eulemur albifrons,9,12,6,120,333950,8347076,-14.945941,49.456007,4,1098,75,D,Ridge,RF,Jumping,Seen
SOA,29-04-11,09:52,Eulemur albifrons,14,12,6,280,334046,8347045,-14.946227,49.456897,3,1126,200,D,Ridge,RF,Jumping,Seen
SOA,19-04-11,18:55,Microcebus rufus*,1,2,7,220,333876,8345960,-14.956023,49.455246,4,1102,1750,D,Ridge,RF,Jumping,Seen
SOA,19-04-11,19:02,Microcebus rufus*,1,2,3,20,333928,8346024,-14.955448,49.455734,4,1109,1625,D,Ridge,RF,Jumping,Seen
SOA,26-04-11,19:35,Microcebus rufus*,1,3,5,200,334142,8346338,-14.952623,49.457744,4,1134,1200,D,Ridge,RF,Jumping,Seen
SOA,28-03-11,08:10,Varecia variegata,2,15,12,80,333198,8347048,-14.946147,49.449014,4,1076,75,C,Ridge,RF,Stop,Seen
SOA,19-04-11,08:45,Varecia variegata,2,18,10,60,334048,8347050,-14.946182,49.456916,4,1121,200,D,Ridge,RF,Jumping,Seen
SOA,19-04-11,19:35,Varecia variegata,1,10,12,40,334033,8346218,-14.953701,49.456723,5,1117,1350,D,Ridge,RF,Stop,Seen
SOA,29-04-11,09:52,Varecia variegata,2,9,14,20,334046,8347045,-14.946227,49.456897,3,1126,200,D,Ridge,RF,Stop,Seen
