"sites","LocationName.geometry","water","lawn_grass","urban_low","urban_med","urban_high","forest","shrub","herbaceous","wetland","ag"
"D03-STB1",c(-87.66563918, 41.96962066),0,0.0018273713067174,0.0552688427269459,0.444578319787979,0.49832546710968,0,0,0,0,0
"D04-DNP1",c(-87.78423327, 41.96512952),0,0.103014968335629,0.0698466449975967,0.718855619430542,0.108282752335072,0,0,0,0,0
"D04-EDW0",c(-87.7646423, 41.99098007),0,0.161154821515083,0.20353889465332,0.329052656888962,0.0931819006800652,0.0596367650432512,0,0.00813811644911766,0.137734040617943,0.00104314158670604
"D04-RDP1",c(-87.78559613, 41.98961368),0,0.0470179729163647,0.134647935628891,0.641405880451202,0.163955971598625,0.00195800210349262,0.000260803528362885,0.00052160705672577,0.00892775040119886,0.000782410555984825
"D04-ROS0",c(-87.68932042, 41.98771934),0,0.0799079984426498,0.277329921722412,0.403269052505493,0.235842108726501,0,0,0,0,0
"D05-ADC2",c(-87.79449262, 42.00214816),0,0.168447703123093,0.285696566104889,0.361483067274094,0.0599176660180092,0.0405839420855045,0,0.00130403751973063,0.0807413682341576,0.00156484509352595
"D05-BRP1",c(-87.80710669, 42.00945005),0,0.0782166048884392,0.262744784355164,0.521701991558075,0.115351058542728,0.0131708436092595,0.000782617484219372,0.00104349001776427,0.00521707674488425,0.000260872504441068
"D05-MIA1",c(-87.79567324, 42.02421505),0.00182639504782856,0.0697649344801903,0.132609933614731,0.417074054479599,0.275658994913101,0.0150479065487161,0.00130456790793687,0.000521827139891684,0.0841040909290314,0.000521827139891684
"D05-PRC1",c(-87.8318759, 42.02154012),0,0.134710907936096,0.472688347101212,0.340070426464081,0.0502001009881496,0,0,0,0,0.00156454718671739
"D06-KCG1",c(-87.85328609, 42.07983052),0.000781948096118867,0.0988656282424927,0.370963901281357,0.249654442071915,0.0841287598013878,0.0332207689061761,0,0.00312779238447547,0.149091437458992,0.0101653253659606
"D07-ASC0",c(-87.88662949, 42.05985363),0.0161628965288401,0.211821973323822,0.23306642472744,0.156224936246872,0.10644306987524,0.159053608076647,0,0.00338546116836369,0.0919077843427658,0.0136003779280145
"D07-NOC1",c(-87.87945486, 42.09431792),0.02082952670753,0.0931865274906158,0.155375301837921,0.199621975421906,0.100355744361877,0.259807556867599,0,0.00365065177902579,0.159356421325356,0.00781628303229809
"D08-CCC1",c(-87.92248236, 42.15870422),0.0345689356327057,0.187757343053818,0.220488175749779,0.290102571249008,0.0839927941560745,0.0396823195042089,0,0.0277379043400288,0.105766382534057,0.00339881633408368
"D08-DAW0",c(-87.89377889, 42.12577912),0.0258252508938313,0.0550335608422756,0.106012061238289,0.20591239631176,0.105375930666924,0.334159446996637,0.012232881039381,0.0065068518742919,0.135989959497238,0.01295165438205
"D08-DAW2",c(-87.90145123, 42.13530185),0.0326586067676544,0.0429722368717194,0.169555589556694,0.23310498893261,0.0652221217751503,0.31914662825875,0.0257185362279415,0.00312399468384683,0.107716275844723,0.000780998670961708
"D09-CLG0",c(-87.9176414, 42.18765769),0.0365939810872078,0.286161005496979,0.231163486838341,0.138316169381142,0.038328979164362,0.138657943462022,0,0.00234009511768818,0.0738899039279204,0.0485681798309088
"D09-RYW1",c(-87.90419482, 42.1775919),0.00286219757981598,0.260529339313507,0.147262826561928,0.0157768577337265,0.00023506760771852,0.48714342713356,0.00140541838482022,0.00737153645604849,0.0750561356544495,0.0023571855854243
"D09-VTC1",c(-87.9292671, 42.20377534),0.0152014791965485,0.15943443775177,0.160980492830276,0.248299986124039,0.0858142301440239,0.155655204842333,0,0.0198146402835846,0.144702082499862,0.00073892850195989
"D10-CAN0",c(-87.93847762, 42.24007189),0.0166353527456522,0.0395483337342739,0.0627288296818733,0.136507600545883,0.252031981945038,0.240232616197318,0,0.0215732902288437,0.22138070082292,0.00724898604676127
"D10-MAC1",c(-87.92753011, 42.25476444),0.0151245947927237,0.0871209353208542,0.0710072889924049,0.0107801724225283,0.00285783992148936,0.50839772092877,0.000318037316901609,0.0171470399945974,0.255507905967534,0.0231929272413254
"D10-VHC1",c(-87.94735573, 42.22265299),0.00230970373377204,0.110726207494736,0.306816607713699,0.315612286329269,0.181782588362694,0.0259147410979494,0,0.00467132544144988,0.0263087899656966,0.0258577885106206
"J01-BBS1",c(-87.61051042, 41.84834938),0.396196097135544,0.00366338365711272,0.0234064869582653,0.175916999578476,0.365179508924484,0,0.000261670269537717,0.0114775663241744,0,0
"J01-LMP1",c(-87.61053666, 41.83717173),0.242912858724594,0.0175642259418964,0.0929368957877159,0.33999502658844,0.259460002183914,0.000523433205671608,0.00209373282268643,0.0119909793138504,0,0.00104686641134322
"J01-NOR1",c(-87.60790591, 41.86080165),0.542416036128998,0.000522795191500336,0.0119842113927007,0.13665534555912,0.261828035116196,0,0,0.0152970487251878,0,0
"J01-SEP1",c(-87.63898576, 41.90142019),0.00749220140278339,0.00163330335635692,0.0103733232244849,0.213552072644234,0.75650542974472,0,0,0.00548056699335575,0,0
"J01-SKP1",c(-87.66100717, 41.87989095),0,0.00339631480164826,0.0250932518392801,0.182532235980034,0.773262977600098,0.00026125498698093,0,0.00862141419202089,0,0
"J01-UIC1",c(-87.6460853, 41.86897406),0.00529147265478969,0.00261286785826087,0.028136320412159,0.22770157456398,0.727373957633972,0,0,0.00209029437974095,0,0
"R02-DPG1",c(-87.69969807, 41.86036917),0.00548903178423643,0.031888660043478,0.113077357411385,0.460628241300583,0.345788598060608,0,0.00392073718830943,0.015944330021739,0,0.00026138246175833
"R02-FRP1",c(-87.73276152, 41.86167611),0,0.00026158572291024,0.072257973253727,0.456198751926422,0.469973772764206,0,0,0,0,0
"R02-HRF1",c(-87.71353018, 41.86879099),0,0.0078519070520997,0.0622195266187191,0.59031730890274,0.332793861627579,0,0,0.00209062662906945,0,0.0001211912749568
"R03-AUP1",c(-87.76897765, 41.88766256),0,0.00130660505965352,0.191379740834236,0.550874769687653,0.256177514791489,0,0,0,0,0
"R03-CPG1",c(-87.7721358, 41.87566237),0.00444394629448652,0.0810366719961166,0.111822739243507,0.542518734931946,0.239265292882919,0.00156845161109231,0,0.00548958079889417,0,0.000784225820098072
"R03-EUC1",c(-87.79182537, 41.86573343),0,0.000783998926635832,0.0953503325581551,0.739679038524628,0.159066557884216,0,0,0,0,0
"R03-MAP1",c(-87.80378089, 41.86786605),0,0.0032912096939981,0.110123038291931,0.624396204948425,0.255269944667816,0,0,0,0,0
"R04-MMW0",c(-87.83207106, 41.85280337),0.00422374531626701,0.11653196066618,0.209713578224182,0.299929887056351,0.175239503383636,0.021425731247291,0.00339856743812561,0.0344258956611156,0.0440484036225826,0.0892327334731817
"R04-MMW3",c(-87.82763197, 41.86356253),0.00655602663755417,0.094316378235817,0.38263338804245,0.216739684343338,0.164970397949219,0.0106992081273347,0.0033987364731729,0.0169889535754919,0.0287704970687628,0.0728351715952158
"R04-SCH1",c(-87.8484205, 41.85567851),0,0.00496889092028141,0.273207157850266,0.400719821453094,0.318690091371536,0.00108924019150436,0,0,1.7186392142321e-05,0
