"","sp_det","locationAbbr","DD_Long","DD_Lat"
"70",1,"R07-MMP1",-88.0029621350215,41.8740540176139
"71",1,"D04-EDW3",-87.7646420353231,41.9909575538292
"72",1,"C04-MBP1",-87.5733947209007,41.7130849850332
"73",1,"S09-VTW2",-88.0598767404171,41.6708166490095
"74",1,"S10-LPP2",-88.0721258380687,41.5829111529108
"75",1,"S02-PIP1",-87.7300045757058,41.8332591206395
"76",2,"D02-MOP1",-87.7243075335764,41.9185894250075
"77",1,"D08-DAW3",-87.8937786326073,42.1257611075144
"78",2,"D08-CCC1",-87.9224822244069,42.1586952092082
"79",1,"D05-BRP1",-87.8071067440804,42.0094545474522
"80",1,"R10-FRM2",-88.2545555642997,41.8332846566176
"81",2,"R05-GOC1",-87.8829262188422,41.8575755420261
"82",1,"R04-MMW2",-87.8320708270677,41.8527853560407
"83",1,"R09-CTG1",-88.1506982782659,41.8535564849248
"84",1,"R08-PAP1",-88.0590407086448,41.8561856049871
"85",2,"R08-DAP1",-88.0791651806192,41.875128494373
"86",2,"D05-ADC1",-87.8032457659311,42.0087701128891
"87",2,"D08-DAW1",-87.8922114010917,42.1218465318874
"88",1,"D02-HUP2",-87.6990491450255,41.9058573434621
"89",2,"D07-ASC2",-87.8866297395577,42.0598716386985
"90",2,"J01-SEP1",-87.6389856204074,41.9014066835507
"91",1,"R07-YHR1",-87.9897231460558,41.8657746156748
"92",1,"S02-PLP1",-87.6487495400409,41.8440596561211
"93",3,"S10-LPC1",-88.0481653332598,41.5915898038123
"94",1,"S05-LNC1",-87.8447312113717,41.7427370054082
"95",1,"D02-SCP1",-87.6858975251906,41.9229773904747
"96",1,"D04-DNP1",-87.7842334956672,41.9651475309193
